avg_bpr,avg_cl,avg_loss,epoch,test_ndcg@20,test_ndcg@50,test_recall@20,test_recall@50,val_ndcg@20,val_ndcg@50,val_recall@20,val_recall@50
0.4326370671317352,2.7580954731993415,3.1931462359072555,3,,,,,0.04938341812360893,0.06418175759998547,0.08835885934142537,0.14671053098155576
0.36837561969733357,1.6638083155475445,2.036463315807172,6,,,,,0.06044904425591299,0.07800524481796214,0.10747015354826688,0.17631802599756513
0.3733985117122309,-0.05138708517796346,0.32935833656669256,9,,,,,0.05813481547206518,0.07579072361900559,0.10411163877319525,0.173327589173775
0.38045527285604336,-1.0810685994020148,-0.6896510749907043,12,,,,,0.0559947737294746,0.0737945978970461,0.1016505412357337,0.1715041118786121
0.3587556855002446,-1.5933482024207044,-1.2204436799186973,15,,,,,0.055930216739069706,0.07351800986708859,0.10119030364557854,0.1699965795452972
0.3230161397018243,-1.9548674495659064,-1.6147802676727523,18,,,,,0.057118494444850725,0.07447753313591933,0.10283494429423953,0.17057439513345396
0.28640381910314605,-2.2076557880610377,-1.901460203365307,21,,,,,0.058664938108308654,0.0762215105317812,0.10577801901651816,0.17400273776464203
0.25557993559991543,-2.391073033584291,-2.1131090501054604,24,,,,,0.05961032447074383,0.07748327861952385,0.10718579157594307,0.1769227848011233
0.22868869190488883,-2.5196910485699404,-2.266159233169176,27,,,,,0.060680376702879756,0.07842341437512329,0.10873904823918304,0.177724134243451
0.20677664082738298,-2.618955106877569,-2.385048748841926,30,,,,,0.06124816208627277,0.0792993116128141,0.109270052472626,0.17937061031715779
0.18711903735772886,-2.6865477324718268,-2.470216143783645,33,,,,,0.06198722162186851,0.07988209852001825,0.11035626679924522,0.1798579121828299
0.17284030508046128,-2.7374650008642853,-2.5335445522668945,36,,,,,0.0618702742065061,0.07984938791511567,0.11045111580079364,0.1800641810970861
0.15938886303213698,-2.7818724551604164,-2.5896649052254594,39,,,,,0.062091409836033666,0.07997566458343655,0.11114187110388685,0.18030090059211534
0.14724506256147404,-2.8188213578504118,-2.6371316043891717,42,,,,,0.061181020126479684,0.07928351630136485,0.10964295286524961,0.17943968207666114
nan,nan,nan,45,,,,,0.0005533928597564649,0.0009356696853133458,0.0013094259781515414,0.0026399649111643994
nan,nan,nan,48,,,,,0.0005533928597564649,0.0009356696853133458,0.0013094259781515414,0.0026399649111643994
nan,nan,nan,51,,,,,0.0005533928597564649,0.0009356696853133458,0.0013094259781515414,0.0026399649111643994
nan,nan,nan,54,,,,,0.0005533928597564649,0.0009356696853133458,0.0013094259781515414,0.0026399649111643994
nan,nan,nan,57,,,,,0.0005533928597564649,0.0009356696853133458,0.0013094259781515414,0.0026399649111643994
nan,nan,nan,60,,,,,0.0005533928597564649,0.0009356696853133458,0.0013094259781515414,0.0026399649111643994
nan,nan,nan,63,,,,,0.0005533928597564649,0.0009356696853133458,0.0013094259781515414,0.0026399649111643994
nan,nan,nan,66,,,,,0.0005533928597564649,0.0009356696853133458,0.0013094259781515414,0.0026399649111643994
nan,nan,nan,69,,,,,0.0005533928597564649,0.0009356696853133458,0.0013094259781515414,0.0026399649111643994
,,,final_test,0.06167185763668079,0.08030954606150442,0.10941736530725438,0.1816331390004197,,,,
